,Raw,Cut,Trimmed,Mapped,PASS,nonPASS,uPASS,Cut%,Trimmed%,MAP%,PASS%,uPASS%
C2C12D_1,12901771,12397026,10002225,8536203,4539784,3996419,1858080,-95.1,-79.7,68.9,53.2,40.9
C2C12D_2,16763626,15978740,12305980,10973033,5229498,5743535,2104139,-94.3,-76.0,68.7,47.7,40.2
C2C12P_1,11280672,10775762,8761389,7141863,3884517,3257346,1653614,-94.5,-80.3,66.3,54.4,42.6
C2C12P_2,16568113,15742372,12097067,10407354,4895784,5511570,2068635,-94.0,-75.8,66.1,47.0,42.3
